year,month,day,NSI
2007,9,4,119.39
2007,9,5,120.48
2007,9,6,119.34
2007,9,7,118.57
2007,9,8,114.54
2007,9,9,113.97
2007,9,10,114.94
2007,9,11,111.6
2007,9,12,110.53
2007,9,13,108.75
2007,9,14,108.39
2007,9,15,112.17
2007,9,16,112.26
2007,9,17,110.22
2007,9,18,112.42
2007,9,19,109.76
2007,9,20,114.87
2007,9,21,115.21
2007,9,22,115.03
2007,9,23,115.19
2007,9,24,117.93
2007,9,25,117.88
2007,9,26,121.44
2007,9,27,114.78
2007,9,28,119.29
2007,9,29,119.43
2007,9,30,119.97
2007,10,1,117.69
2007,10,2,120.45
2007,10,3,124.61
2007,10,4,126.33
2007,10,5,126.94
2007,10,6,127.03
2007,10,7,126.77
2007,10,8,126.73
2007,10,9,127.77
2007,10,10,125.41
2007,10,11,127.79
2007,10,12,127.22
2007,10,13,128.85
2007,10,14,129.25
2007,10,15,130.36
2007,10,16,130.49
2007,10,17,129.63
2007,10,18,124.77
2007,10,19,124.65
2007,10,20,121.3
2007,10,21,120.7
2007,10,22,119.31
2007,10,23,115.84
2007,10,24,117.35
2007,10,25,121.43
2007,10,26,120.84
2007,10,27,121.79
2007,10,28,121.45
2007,10,29,121.28
2007,10,30,124.24
2007,10,31,123.24
2007,11,1,121.9
2007,11,2,122.12
2007,11,3,121.46
2007,11,4,121.82
2007,11,5,121.92
2007,11,6,120.35
2007,11,7,120.47
2007,11,8,120.65
2007,11,9,119.65
2007,11,10,119.62
2007,11,11,119.69
2007,11,12,120.91
2007,11,13,117.68
2007,11,14,114.72
2007,11,15,114.78
2007,11,16,114.21
2007,11,17,110.86
2007,11,18,110.11
2007,11,19,108.63
2007,11,20,110.74
2007,11,21,109.14
2007,11,22,106.43
2007,11,23,104.55
2007,11,24,105.02
2007,11,25,105.16
2007,11,26,104.76
2007,11,27,106.13
2007,11,28,108.53
2007,11,29,111.61
2007,11,30,114.78
2007,12,1,117.86
2007,12,2,118.71
2007,12,3,120.24
2007,12,4,120.79
2007,12,5,121.62
2007,12,6,120.76
2007,12,7,120.23
2007,12,8,118
2007,12,9,117.17
2007,12,10,117.43
2007,12,11,114.9
2007,12,12,114.55
2007,12,13,113.64
2007,12,14,113.03
2007,12,15,114.14
2007,12,16,114.11
2007,12,17,112.79
2007,12,18,112.34
2007,12,19,111.55
2007,12,20,111.05
2007,12,21,112.11
2007,12,22,113.55
2007,12,23,114.13
2007,12,24,116.15
2007,12,25,120.04
2007,12,26,119.06
2007,12,27,120.85
2007,12,28,121.65
2007,12,29,121.77
2007,12,30,122.48
2007,12,31,123.63
2008,1,1,121.19
2008,1,2,125.04
2008,1,3,128.48
2008,1,4,126.11
2008,1,5,124.35
2008,1,6,123.84
2008,1,7,124.06
2008,1,8,124.1
2008,1,9,122.24
2008,1,10,118.7
2008,1,11,120.23
2008,1,12,121
2008,1,13,120.84
2008,1,14,120.02
2008,1,15,121.68
2008,1,16,123.43
2008,1,17,121.22
2008,1,18,120.46
2008,1,19,119.54
2008,1,20,118.17
2008,1,21,118.18
2008,1,22,113.91
2008,1,23,107.88
2008,1,24,110.74
2008,1,25,113.42
2008,1,26,115.84
2008,1,27,117
2008,1,28,116.71
2008,1,29,118.65
2008,1,30,121.56
2008,1,31,118.45
2008,2,1,115.02
2008,2,2,114.39
2008,2,3,114.68
2008,2,4,113.58
2008,2,5,115.35
2008,2,6,115.62
2008,2,7,116.63
2008,2,8,117.04
2008,2,9,114.82
2008,2,10,113.59
2008,2,11,114.33
2008,2,12,111.12
2008,2,13,112.34
2008,2,14,113.49
2008,2,15,115.97
2008,2,16,115.09
2008,2,17,115.05
2008,2,18,115.3
2008,2,19,116.66
2008,2,20,117.19
2008,2,21,116.18
2008,2,22,114.57
2008,2,23,114.16
2008,2,24,114.18
2008,2,25,113.83
2008,2,26,114.22
2008,2,27,113.43
2008,2,28,115.04
2008,2,29,113.52
2008,3,1,113.38
2008,3,2,113.12
2008,3,3,111.52
2008,3,4,108.4
2008,3,5,105.46
2008,3,6,104.29
2008,3,7,106.07
2008,3,8,103.33
2008,3,9,102.48
2008,3,10,102.15
2008,3,11,101.12
2008,3,12,101.94
2008,3,13,100.83
2008,3,14,95.51
2008,3,15,96.52
2008,3,16,97.38
2008,3,17,95.44
2008,3,18,93.41
2008,3,19,92.14
2008,3,20,91.18
2008,3,21,93.09
2008,3,22,95.84
2008,3,23,96.47
2008,3,24,98.73
2008,3,25,103.87
2008,3,26,105.82
2008,3,27,108.56
2008,3,28,110.15
2008,3,29,111.21
2008,3,30,111.65
2008,3,31,113.45
2008,4,1,113.31
2008,4,2,113.46
2008,4,3,115.05
2008,4,4,117.84
2008,4,5,118.98
2008,4,6,118.62
2008,4,7,118.16
2008,4,8,119.95
2008,4,9,119.41
2008,4,10,116.96
2008,4,11,116.16
2008,4,12,116.18
2008,4,13,116.23
2008,4,14,117.04
2008,4,15,113.83
2008,4,16,114.44
2008,4,17,115.87
2008,4,18,115.44
2008,4,19,113.17
2008,4,20,113.02
2008,4,21,113.04
2008,4,22,116.76
2008,4,23,116.3
2008,4,24,116.81
2008,4,25,117
2008,4,26,119.34
2008,4,27,119.27
2008,4,28,117.75
2008,4,29,117.41
2008,4,30,119.89
2008,5,1,119.08
2008,5,2,115.49
