순번/순위,구분,label,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
872.0,자기계발,0,그때 미처 깨닫지 못한 것을 지금 알게 된다면,K542531223,9791188167081.0,3190.0,프롬북스,"하버드공개수업연구회 지음, 김경숙 옮김","14,000","12,600","1,400",10%,700점,20170919.0,99.0
873.0,자기계발,0,성공해서 책을 쓰는 것이 아니라 책을 써야 성공한다,K302531826,9791187532927.0,3190.0,위닝북스,김태광,"19,000","17,100","1,900",10%,950점,20170915.0,60.0
874.0,자기계발,0,습관 하나 바꿨을 뿐인데,8974256371,9788974256371.0,13320.0,국일미디어(국일출판사),"에비 가즈히로 지음, 이해란 옮김","13,000","11,700","1,300",10%,650점,20170907.0,96.0
875.0,자기계발,0,애티튜드,K042531517,9791155427033.0,3320.0,매일경제신문사,박정수 지음,"18,000","16,200","1,800",10%,900점,20170905.0,116.0
876.0,자기계발,0,내가 있을 곳이 없다고 느낄 때,8927808916,9788927808916.0,3810.0,중앙books(중앙북스),"미즈시마 히로코 지음, 정혜주 옮김","9,800","8,820",980,10%,490점,20170901.0,43.0
878.0,자기계발,0,여자 마음 설명서,894754244X,9788947542449.0,3320.0,한국경제신문i,글보리 지음,"15,000","13,500","1,500",10%,150점,20170901.0,195.0
879.0,자기계발,0,어떻게 진짜 어른이 되는가,8954437834,9788954437837.0,3180.0,자음과모음,"데이비드 리코 지음, 김미나 옮김","13,000","11,700","1,300",10%,650점,20170721.0,563.0
880.0,자기계발,0,렛미샤인,K222531690,9791129400048.0,3320.0,로크미디어,최지원 지음,"13,900","12,510","1,390",10%,690점,20170720.0,198.0
881.0,자기계발,0,약자들의 전쟁법,K952531398,9791160560220.0,3190.0,어크로스,박정훈 지음,"15,000","13,500","1,500",10%,750점,20170714.0,172.0
882.0,자기계발,0,기억독서법,898739008X,9788987390086.0,13100.0,북씽크,기성준 외 지음,"13,800","12,420","1,380",10%,690점,20170710.0,260.0
883.0,자기계발,0,헤어스타일 하나 바꿨을 뿐인데,K442531289,9791187165231.0,3320.0,스몰빅라이프,"사토 유미 지음, 양필성 옮김","13,800","12,420","1,380",10%,690점,20170622.0,207.0
884.0,자기계발,0,좋은 습관은 배신하지 않는다,K632531089,9791186276457.0,3820.0,정민미디어,"거둬 지음, 김진아 옮김","15,000","13,500","1,500",10%,750점,20170625.0,227.0
885.0,자기계발,0,나는 뚱뚱하게 살기로 했다,K522531570,9791188248025.0,3190.0,웨일북,"제스 베이커 지음, 박다솜 옮김","15,000","13,500","1,500",10%,750점,20170605.0,202.0
886.0,자기계발,0,사랑을 지키는 법,8950969718,9788950969714.0,3180.0,21세기북스,"조나 레러 지음, 박내선 옮김","15,000","13,500","1,500",10%,750점,20170515.0,857.0
887.0,자기계발,0,잘나가는 여자들에겐 커뮤니티가 필요하다,K072530559,9791195848355.0,13320.0,레드베어,최상아 지음,"14,800","13,320","1,480",10%,740점,20170427.0,150.0
889.0,자기계발,0,"엄마, 오늘부터 일하러 갑니다!",8954437257,9788954437257.0,7830.0,꼼지락,"노하라 히로코 지음, 조찬희 옮김","11,000","9,900","1,100",10%,550점,20170410.0,175.0
890.0,자기계발,0,나는 시크릿으로 인생을 바꿨다,8952235959,9788952235954.0,3320.0,살림,"론다 번 지음, 허선영 옮김","15,000","13,500","1,500",10%,750점,20170320.0,707.0
892.0,자기계발,0,미국 어학연수를 시작하다,K812530230,9791187504108.0,13740.0,라이카미(부즈펌),신은수 지음,"16,800","15,120","1,680",10%,840점,20170317.0,52.0
893.0,자기계발,0,공간 추리 퍼즐,K942530930,9791187499077.0,14410.0,그린페이퍼,"무라카미 료이치 지음, 장은정 옮김, 이나바 나오키","7,500","6,750",750,10%,370점,20170315.0,339.0
895.0,자기계발,0,내가 살고 싶은 작은 집,8960863246,9788960863248.0,13610.0,위즈덤하우스,임형남.노은주 지음,"17,000","15,300","1,700",10%,850점,20170131.0,237.0
